OBJECTID,NLFID,COUNTY_CD,ROUTE_TYPE,ROUTE_NBR,CTL_BEGIN,CTL_END,TRANS_ID_DESCRIPTION,DIRECTION_OF_TRAVEL,ODOT_DISTRICT,DIVIDED_HWY,TRANS_ID_EXTENSION_CD,GAS_TAX_MILEAGE,JURISDICTION,PERP_YEAR_NBR,PRIMARY_IND,STREET_DIR_SUFFIX,STREET_DIRECTION_PREFIX,STREET_NAME_TXT,STREET_SPEC_SUFFIX,STREET_SUFFIX,LRS_CURRENT_SEGMENT_ID,ACCESS_CONTROL,BASE_LT_TYPE,BASE_RT_TYPE,FAP_IND,FED_AID_ROUTE,FUNCTION_CLASS,HPMS_SAMPLE_ID,LANES,LAST_CONSTRUCTION_DATE,LAST_RESURFACING_DATE,MAINTENANCE_AUTHORITY,MEDIAN_TYPE,MEDIAN_WIDTH,NHS,NHS_INTERMODAL,OWNERSHIP,PRIORITY_SYSTEM,SCENIC_BYWAYS,SCENIC_BYWAYS_ROUTE_ID,SHLD_LT_IN_PVD_WIDTH,SHLD_LT_OUT_PVD_WIDTH,SHLD_LT_TOTAL_WIDTH,SHLD_RT_IN_PVD_WIDTH,SHLD_RT_OUT_PVD_WIDTH,SHLD_RT_TOTAL_WIDTH,SHOULDER_TYPE,SURFACE_LT_WIDTH,SURFACE_RT_WIDTH,SURFACE_TYPE_LEFT,SURFACE_TYPE_RIGHT,TRUCK_ROUTE_IND,URBAN_AREA_CODE,LRS_EVENT_SEGMENT_ID,SPEED_LIMIT_NBR,created_user,created_date,last_edited_user,last_edited_date,Shape.STLength()
5795234,CALLCR00006**C,ALL,CR,00006,2.954,2.992,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721962,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4665fb9,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,80.080494
5796666,CALLCR00006**C,ALL,CR,00006,2.909,2.954,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721962,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4575fb8,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,96.204368
5793225,CALLCR00006**C,ALL,CR,00006,2.992,3.043,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721963,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4665fba,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,108.673643
5792866,CALLCR00006**C,ALL,CR,00006,3.043,3.108,*,NA,1,N,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721964,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4765fbb,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,137.073277
5793968,CALLCR00006**C,ALL,CR,00006,3.108,3.134,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721965,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4765fbc,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,55.59133
5793880,CALLCR00006**C,ALL,CR,00006,3.134,3.14,*,NA,1,Y,*,M,C,2018,Y,NA,W,MARKET,NA,ST,20721966,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4765fbd,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,12.718317
5796863,CALLCR00006**C,ALL,CR,00006,3.14,3.146,*,NA,1,Y,*,M,C,2018,Y,NA,E,MARKET,NA,ST,20721967,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4855fbe,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,12.927694
5795749,CALLCR00006**C,ALL,CR,00006,3.146,3.17,*,NA,1,Y,*,M,C,2018,Y,NA,E,MARKET,NA,ST,20721968,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4855fbf,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,50.900747
5794650,CALLCR00006**C,ALL,CR,00006,3.17,3.236,*,NA,1,Y,*,M,C,2018,Y,NA,E,MARKET,NA,ST,20721969,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4955fc0,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,139.714521
5796212,CALLCR00006**C,ALL,CR,00006,3.236,3.287,*,NA,1,N,*,M,C,2018,Y,NA,E,MARKET,NA,ST,20721970,NA,NA,NA,N,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,G,G,N,49852,8af3a8006e03f452016e03fbf4955fc1,25,TIMS@D31_AG,2020-01-15T19:07:39Z,TIMS@P31_AG,2020-01-15T19:07:39Z,108.913637
