OBJECTID,ODOT_DISTRICT,NLFID,COUNTY_CD,COUNTY,ROUTE_TYPE,ROUTE_NBR,ROUTE_SUFFIX,CTL_BEGIN_NBR,CTL_END_NBR,STL_BEGIN_NBR,STL_END_NBR,BACKSTATION_CD,SECTION_LENGTH_NBR,NHS_CD,FUNCTIONAL_CLASS_CD,PRIMARY_SYSTEM_CD,POSTED_SPEED_NBR,FF_SPEED_NBR,TOTAL_LANES_NBR,LANE_WIDTH_NBR,CAPACITY_NBR,TOTAL_VOLUME_NBR,TRUCK_VOLUME_NBR,VMT_NBR,TRUCK_VMT_NBR,VOLUME_PER_LANE_NBR,CONGESTION_INDEX_NBR,VOLUME_CAPACITY_RATIO_NBR,PEAK_HOUR_NBR,VHT_NBR,CONGESTION_DELAY_NBR,PHYSICAL_DELAY_NBR,SPEED_LIMIT_DELAY_NBR,DELAY_RATIO_NBR,FWY_ART_NBR,DIRECTION_1_NBR,DIRECTION_2_NBR,MEDIAN_WIDTH_NBR,DIRECTION_1_HRS_NBR,DIRECTION_2_HRS_NBR,OVERRIDE_1_TXT,OVERRIDE_2_TXT,PKVMT_NBR,EXCEED_VMT_NBR,EXCEED_PKVMT_NBR,CAR_GROWTH_NBR,TRUCK_GROWTH_NBR,LOS_CD,EXD1Y1L_NBR,EXD2Y1L_NBR,EXD1Y1M_NBR,EXD2Y1M_NBR,EXD1Y1U_NBR,EXD2Y1U_NBR,EXD1Y2L_NBR,EXD2Y2L_NBR,EXD1Y2M_NBR,EXD2Y2M_NBR,EXD1Y2U_NBR,EXD2Y2U_NBR,created_user,created_date,last_edited_user,last_edited_date,Shape.STLength()
1200380,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,20.096,21.096,20.096,21.096,NA,1,N,3,P,60,62,4,48,8446,4230,661,4230,661,1388,0.1,0.05,16,68.32,0,-2.28,5.43,0,1,2,2,0,0,0,NA,NA,326,0,0,1.12,3.17,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2070.933141
1200381,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,21.096,22.096,21.096,22.096,NA,1,N,3,P,60,62,4,48,8446,4230,661,4230,661,1388,0.1,0.05,16,68.32,0,-2.28,5.43,0,1,2,2,0,0,0,NA,NA,326,0,0,1.12,3.17,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2070.099608
1200382,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,22.096,23.096,22.096,23.096,NA,1,N,3,P,60,62,4,48,8446,4230,661,4230,661,1388,0.1,0.05,16,68.32,0,-2.28,5.43,0,1,2,2,0,0,0,NA,NA,326,0,0,1.12,3.17,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2072.881607
1200383,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,23.096,24.096,23.096,24.096,NA,1,N,3,P,60,62,4,48,8446,4230,661,4230,661,1388,0.1,0.05,16,68.32,0,-2.28,5.43,0,1,2,2,0,0,0,NA,NA,326,0,0,1.12,3.17,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2072.754471
1200384,09,SADASR00032**C,ADA,ADAMS,SR,00032,*,24.096,24.848,24.096,24.848,NA,0.752,N,3,P,60,62,4,48,8446,4230,661,3181,497,1388,0.1,0.05,16,51.38,0,-1.71,4.08,0,1,2,2,0,0,0,NA,NA,245,0,0,1.12,3.17,A,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,1555.083134
1200385,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,0,1,0,1,NA,1,NA,5,G,55,45,2,20,2812,1538,78,1538,78,847,0.15,0.06,16,34.18,0,6.21,4.3,0,2,1,1,0,0,0,NA,NA,128,0,0,0,4,B,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2061.913373
1200386,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,1,2,1,2,NA,1,NA,5,G,55,45,2,20,2812,1538,78,1538,78,847,0.15,0.06,16,34.18,0,6.21,4.3,0,2,1,1,0,0,0,NA,NA,128,0,0,0,4,B,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2063.496682
1200387,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,2,2.713,2,2.713,NA,0.713,NA,5,G,55,45,2,20,2812,1538,78,1097,56,847,0.15,0.06,16,24.37,0,4.43,3.07,0,2,1,1,0,0,0,NA,NA,91,0,0,0,4,B,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,1470.663411
1200388,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,2.713,3.713,2.713,3.713,NA,1,NA,5,G,55,45,2,20,2812,1538,78,1538,78,847,0.15,0.06,16,34.18,0,6.21,4.3,0,2,1,1,0,0,0,NA,NA,128,0,0,0,4,B,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2059.929297
1200389,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,3.713,4.713,3.713,4.713,NA,1,NA,5,G,55,45,2,20,2812,1538,78,1538,78,847,0.15,0.06,16,34.18,0,6.21,4.3,0,2,1,1,0,0,0,NA,NA,128,0,0,0,4,B,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2062.532099
1200390,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,4.713,5.713,4.713,5.713,NA,1,NA,5,G,55,45,2,20,2812,1538,78,1538,78,847,0.15,0.06,16,34.18,0,6.21,4.3,0,2,1,1,0,0,0,NA,NA,128,0,0,0,4,B,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2067.189606
1200391,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,5.713,6.713,5.713,6.713,NA,1,NA,5,G,55,45,2,20,2812,1538,78,1538,78,847,0.15,0.06,16,34.18,0,6.21,4.3,0,2,1,1,0,0,0,NA,NA,128,0,0,0,4,B,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,2067.451198
1200392,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,6.713,6.99,6.713,6.99,NA,0.277,NA,5,G,55,45,2,20,2812,1538,78,426,22,847,0.15,0.06,16,9.47,0,1.72,1.19,0,2,1,1,0,0,0,NA,NA,35,0,0,0,4,B,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,571.476926
1200393,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,6.99,7.462,6.99,7.462,NA,0.472,NA,5,G,40,35,2,20,2812,1538,78,726,37,847,0.15,0.06,16,20.74,0,2.59,6.98,0,2,1,1,0,0,0,NA,NA,60,0,0,0,4,B,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,976.723223
1200394,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,7.462,7.683,7.462,7.683,NA,0.221,NA,4,G,40,36,2,22,2812,5584,250,1234,55,3042,0.55,0.21,16,34.24,0.01,3.42,11.85,2e-4,2,1,1,0,0,0,NA,NA,102,0,0,0.19,4,C,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,456.067341
1200395,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,7.683,7.936,7.683,7.936,NA,0.253,NA,4,G,40,36,2,22,2812,5584,250,1413,63,3042,0.55,0.21,16,39.2,0.01,3.92,13.57,2e-4,2,1,1,0,0,0,NA,NA,117,0,0,0.19,4,C,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,523.271912
1200396,09,SADASR00041**C,ADA,ADAMS,SR,00041,*,7.936,8.3,7.936,8.3,NA,0.364,NA,4,G,55,46,2,22,2812,5584,250,2033,91,3042,0.55,0.21,16,44.14,0.01,7.22,5.68,2e-4,2,1,1,0,0,0,NA,NA,168,0,0,0.19,4,C,0,0,0,0,0,0,0,0,0,0,0,0,TIMS@D31_AG,2019-12-17T19:43:14Z,TIMS@P31_AG,2019-12-17T19:43:14Z,751.075737
